,GEOID20,NAME,NAME20,CON20D,CON20R,STATEFP20,VAP20,2MOREVAP20,BVAP20,HISP20
2760,42021000430,EAST CARROLL DISTRICT NORTH,EAST CARROLL DISTRICT NORTH,61.0,141.0,42.0,429.0,10.0,0.0,12.0
2761,4200300A540,PITTSBURGH WARD 17 DISTRICT 04,PITTSBURGH WARD 17 DISTRICT 04,460.0,127.0,42.0,979.0,59.0,35.0,52.0
2762,42095000520,EASTON WARD 07,EASTON WARD 07,435.0,167.0,42.0,1439.0,51.0,301.0,723.0
2763,42043000010,BERRYSBURG,BERRYSBURG,31.0,148.0,42.0,272.0,4.0,0.0,8.0
2764,42073000295,NEW CASTLE WARD 01 DISTRICT 02,NEW CASTLE WARD 01 DISTRICT 02,210.0,176.0,42.0,716.0,25.0,45.0,28.0
2765,42029001540,WEST CHESTER WARD 04,WEST CHESTER WARD 04,416.0,133.0,42.0,1529.0,31.0,126.0,247.0
2766,42091000125,ABINGTON WARD 05 DISTRICT 02,ABINGTON WARD 05 DISTRICT 02,834.0,173.0,42.0,1242.0,44.0,595.0,132.0
2767,42091001200,JENKINTOWN DISTRICT 04,JENKINTOWN DISTRICT 04,686.0,141.0,42.0,925.0,12.0,42.0,64.0
2768,42077000080,ALLENTOWN WARD 06 DISTRICT 02,ALLENTOWN WARD 06 DISTRICT 02,394.0,170.0,42.0,1716.0,17.0,171.0,1211.0
2769,42045001130,GLENOLDEN PRECINCT 05,GLENOLDEN PRECINCT 05,152.0,140.0,42.0,453.0,13.0,43.0,9.0
2770,42101002137,PHILADELPHIA WARD 21 PRECINCT 37,PHILADELPHIA WARD 21 PRECINCT 37,377.0,149.0,42.0,755.0,15.0,72.0,49.0
2771,42101002116,PHILADELPHIA WARD 21 PRECINCT 16,PHILADELPHIA WARD 21 PRECINCT 16,328.0,135.0,42.0,600.0,15.0,23.0,27.0
2772,42069000970,Mayfield Ward 01,Mayfield Ward 01,128.0,174.0,42.0,438.0,7.0,7.0,11.0
2773,4200300F280,SHALER WARD 06 DISTRICT 04,SHALER WARD 06 DISTRICT 04,148.0,159.0,42.0,374.0,4.0,4.0,12.0
2774,4200300B250,PITTSBURGH WARD 19 DISTRICT 20,PITTSBURGH WARD 19 DISTRICT 20,252.0,160.0,42.0,664.0,16.0,48.0,66.0
2775,42003009590,PITTSBURGH WARD 14 DISTRICT 25,PITTSBURGH WARD 14 DISTRICT 25,621.0,150.0,42.0,786.0,35.0,10.0,64.0
2776,42009000320,SCHELLSBURG,SCHELLSBURG,30.0,147.0,42.0,259.0,12.0,1.0,7.0
2777,42063000240,CONEMAUGH DISTRICT 01,CONEMAUGH DISTRICT 01,70.0,159.0,42.0,356.0,21.0,0.0,4.0
2778,42133001240,YORK WARD 08,YORK WARD 08,767.0,161.0,42.0,3155.0,84.0,932.0,1576.0
2779,42045003000,TRAINER PRECINCT LENNOX PARK,TRAINER PRECINCT LENNOX PARK,215.0,152.0,42.0,634.0,25.0,158.0,65.0
2780,42005000560,PERRY,PERRY,47.0,158.0,42.0,295.0,10.0,0.0,3.0
2781,42101006325,PHILADELPHIA WARD 63 PRECINCT 25,PHILADELPHIA WARD 63 PRECINCT 25,153.0,160.0,42.0,657.0,19.0,64.0,66.0
2782,42101000117,PHILADELPHIA WARD 01 PRECINCT 17,PHILADELPHIA WARD 01 PRECINCT 17,365.0,139.0,42.0,812.0,21.0,44.0,74.0
2783,42069000790,Fell District 03,Fell District 03,127.0,160.0,42.0,483.0,12.0,2.0,18.0
2784,42065000010,BARNETT,BARNETT,41.0,143.0,42.0,197.0,7.0,0.0,2.0
2785,42083000210,FOSTER DISTRICT 04,FOSTER DISTRICT 04,27.0,144.0,42.0,147.0,9.0,0.0,2.0
2786,42005000180,ELDERTON,ELDERTON,37.0,149.0,42.0,291.0,11.0,0.0,0.0
2787,42129000750,HEMPFIELD DISTRICT HANNASTOWN,HEMPFIELD DISTRICT HANNASTOWN,53.0,156.0,42.0,310.0,12.0,0.0,8.0
2788,42087000250,MCVEYTOWN,MCVEYTOWN,43.0,142.0,42.0,256.0,0.0,0.0,4.0
2789,42013000070,ALTOONA WARD 02 PRECINCT 01,ALTOONA WARD 02 PRECINCT 01,105.0,157.0,42.0,859.0,41.0,57.0,27.0
2790,42095000170,BETHLEHEM WARD 09 DISTRICT 01,BETHLEHEM WARD 09 DISTRICT 01,351.0,157.0,42.0,828.0,42.0,51.0,325.0
2791,42095000450,EASTON WARD 02,EASTON WARD 02,464.0,166.0,42.0,1137.0,45.0,106.0,210.0
2792,42007000670,EAST ROCHESTER,EAST ROCHESTER,130.0,181.0,42.0,459.0,24.0,32.0,14.0
2793,42121000740,VICTORY,VICTORY,47.0,161.0,42.0,302.0,4.0,0.0,0.0
2794,42091001780,LOWER MERION WARD 14 PRECINCT 02,LOWER MERION WARD 14 PRECINCT 02,782.0,132.0,42.0,954.0,19.0,56.0,44.0
2795,42091000500,CHELTENHAM DISTRICT 01 DIVISION 04,CHELTENHAM DISTRICT 01 DIVISION 04,611.0,140.0,42.0,1071.0,15.0,175.0,119.0
2796,42125000800,EAST BETHLEHEM WARD 01,EAST BETHLEHEM WARD 01,99.0,182.0,42.0,394.0,14.0,0.0,3.0
2797,42045001670,MARCUS HOOK PRECINCT 03,MARCUS HOOK PRECINCT 03,177.0,154.0,42.0,703.0,36.0,123.0,49.0
2798,42101005612,PHILADELPHIA WARD 56 PRECINCT 12,PHILADELPHIA WARD 56 PRECINCT 12,225.0,170.0,42.0,878.0,34.0,80.0,164.0
2799,42101006401,PHILADELPHIA WARD 64 PRECINCT 01,PHILADELPHIA WARD 64 PRECINCT 01,255.0,148.0,42.0,863.0,31.0,151.0,221.0
2800,42101001057,PHILADELPHIA WARD 05 PRECINCT 09,PHILADELPHIA WARD 05 PRECINCT 09,877.0,145.0,42.0,1885.0,69.0,430.0,160.0
2801,42075000210,LEBANON WARD 05 DIVISION MIDDLE,LEBANON WARD 05 DIVISION MIDDLE,219.0,178.0,42.0,1308.0,16.0,53.0,1162.0
2802,42069002160,Scranton Ward 22 District 01,Scranton Ward 22 District 01,309.0,176.0,42.0,775.0,21.0,23.0,125.0
2803,42079000120,BUCK,BUCK,84.0,170.0,42.0,325.0,8.0,5.0,11.0
2804,4200300D910,PITTSBURGH WARD 32 DISTRICT 05,PITTSBURGH WARD 32 DISTRICT 05,296.0,173.0,42.0,628.0,12.0,22.0,12.0
2805,42003005261,O'HARA WARD 04 DISTRICT 01,O'HARA WARD 04 DISTRICT 01,315.0,142.0,42.0,363.0,4.0,45.0,3.0
2806,42003002231,FOREST HILLS DISTRICT 03,FOREST HILLS DISTRICT 03,376.0,169.0,42.0,616.0,17.0,74.0,21.0
2807,42125000630,CROSS CREEK DISTRICT 01,CROSS CREEK DISTRICT 01,87.0,170.0,42.0,395.0,7.0,1.0,9.0
2808,42049000520,ERIE WARD 05 DISTRICT 08,ERIE WARD 05 DISTRICT 08,534.0,166.0,42.0,1374.0,77.0,462.0,278.0
2809,42045002920,SWARTHMORE PRECINCT NORTHERN,SWARTHMORE PRECINCT NORTHERN,1344.0,107.0,42.0,2337.0,127.0,156.0,186.0
2810,42101005801,PHILADELPHIA WARD 58 PRECINCT 01,PHILADELPHIA WARD 58 PRECINCT 01,200.0,161.0,42.0,1008.0,37.0,53.0,99.0
2811,42113000110,FOX,FOX,39.0,148.0,42.0,273.0,9.0,0.0,3.0
2812,42003005610,PENN HILLS WARD 06 DISTRICT 01,PENN HILLS WARD 06 DISTRICT 01,254.0,165.0,42.0,623.0,31.0,103.0,27.0
2813,42003005682,PENN HILLS WARD 07 DISTRICT 06,PENN HILLS WARD 07 DISTRICT 06,379.0,159.0,42.0,714.0,19.0,269.0,20.0
2814,4200300B470,PITTSBURGH WARD 19 DISTRICT 31,PITTSBURGH WARD 19 DISTRICT 31,242.0,161.0,42.0,456.0,9.0,32.0,13.0
2815,42019000230,CALLERY,CALLERY,61.0,159.0,42.0,284.0,6.0,1.0,3.0
2816,42007000355,BEAVER FALLS DISTRICT 04,BEAVER FALLS DISTRICT 04,235.0,182.0,42.0,716.0,49.0,174.0,28.0
2817,42043000127,DERRY PRECINCT 12,DERRY PRECINCT 12,348.0,125.0,42.0,1605.0,27.0,223.0,100.0
2818,42043000220,HARRISBURG WARD 01 DISTRICT 02,HARRISBURG WARD 01 DISTRICT 02,565.0,169.0,42.0,1817.0,58.0,763.0,1123.0
2819,42107001375,SHENANDOAH PRECINCT 05,SHENANDOAH PRECINCT 05,90.0,161.0,42.0,596.0,17.0,13.0,305.0
2820,42085000150,FARRELL DISTRICT 02 DIVISION 04,FARRELL DISTRICT 02 DIVISION 04,346.0,172.0,42.0,703.0,19.0,173.0,8.0
2821,42125001580,SMITH DISTRICT 04,SMITH DISTRICT 04,107.0,164.0,42.0,323.0,4.0,2.0,8.0
2822,42049001360,PLATEA,PLATEA,68.0,155.0,42.0,365.0,10.0,0.0,3.0
2823,42101003942,PHILADELPHIA WARD 39 PRECINCT 42,PHILADELPHIA WARD 39 PRECINCT 42,206.0,160.0,42.0,639.0,24.0,9.0,60.0
2824,42021001385,PORTAGE WARD 01,PORTAGE WARD 01,88.0,176.0,42.0,482.0,12.0,5.0,10.0
2825,42105000170,KEATING,KEATING,23.0,146.0,42.0,255.0,2.0,0.0,1.0
2826,42003001120,CHURCHILL DISTRICT 02,CHURCHILL DISTRICT 02,431.0,162.0,42.0,735.0,32.0,128.0,28.0
2827,42003000650,BRACKENRIDGE WARD 01,BRACKENRIDGE WARD 01,171.0,168.0,42.0,747.0,19.0,69.0,23.0
2828,42017000720,BRISTOL DISTRICT SOUTH DIVISION 02,BRISTOL DISTRICT SOUTH DIVISION 02,272.0,175.0,42.0,724.0,28.0,60.0,180.0
2829,42007001320,ELLWOOD CITY,ELLWOOD CITY,109.0,160.0,42.0,479.0,31.0,4.0,16.0
2830,42123000040,CLARENDON,CLARENDON,39.0,157.0,42.0,326.0,9.0,0.0,4.0
2831,42107000995,POTTSVILLE WARD 01,POTTSVILLE WARD 01,90.0,164.0,42.0,585.0,35.0,47.0,67.0
2832,42101002109,PHILADELPHIA WARD 21 PRECINCT 09,PHILADELPHIA WARD 21 PRECINCT 09,574.0,138.0,42.0,927.0,41.0,41.0,43.0
2833,42101005528,PHILADELPHIA WARD 55 PRECINCT 28,PHILADELPHIA WARD 55 PRECINCT 28,201.0,175.0,42.0,646.0,12.0,80.0,248.0
2834,42101005621,PHILADELPHIA WARD 56 PRECINCT 21,PHILADELPHIA WARD 56 PRECINCT 21,188.0,159.0,42.0,972.0,65.0,117.0,94.0
2835,42101003104,PHILADELPHIA WARD 31 PRECINCT 04,PHILADELPHIA WARD 31 PRECINCT 04,453.0,146.0,42.0,810.0,32.0,17.0,51.0
2836,42101002126,PHILADELPHIA WARD 21 PRECINCT 26,PHILADELPHIA WARD 21 PRECINCT 26,342.0,159.0,42.0,721.0,22.0,71.0,50.0
2837,42071000670,LANCASTER WARD 05 PRECINCT 03,LANCASTER WARD 05 PRECINCT 03,511.0,125.0,42.0,1026.0,34.0,81.0,229.0
2838,42113000150,SHREWSBURY,SHREWSBURY,57.0,145.0,42.0,260.0,5.0,0.0,6.0
2839,42069001920,Scranton Ward 16 District 01,Scranton Ward 16 District 01,411.0,165.0,42.0,1619.0,39.0,256.0,99.0
2840,42083000260,KANE WARD 02,KANE WARD 02,77.0,158.0,42.0,470.0,18.0,7.0,6.0
2841,42129002560,SEWICKLEY DISTRICT WHYEL,SEWICKLEY DISTRICT WHYEL,52.0,162.0,42.0,347.0,6.0,2.0,3.0
2842,42035000240,LOGANTON,LOGANTON,78.0,155.0,42.0,359.0,10.0,1.0,11.0
2843,42003002470,GLASSPORT DISTRICT 06,GLASSPORT DISTRICT 06,141.0,172.0,42.0,568.0,29.0,13.0,7.0
2844,4200300F921,TARENTUM WARD 02,TARENTUM WARD 02,170.0,182.0,42.0,764.0,43.0,87.0,32.0
2845,4200300D340,PITTSBURGH WARD 29 DISTRICT 01,PITTSBURGH WARD 29 DISTRICT 01,227.0,199.0,42.0,740.0,27.0,110.0,57.0
2846,42003004451,MOUNT LEBANON WARD 02 DISTRICT 04,MOUNT LEBANON WARD 02 DISTRICT 04,359.0,130.0,42.0,568.0,13.0,0.0,17.0
2847,42007001470,ROCHESTER WARD 02,ROCHESTER WARD 02,208.0,171.0,42.0,630.0,40.0,112.0,26.0
2848,42061000330,MOUNT UNION WARD 01,MOUNT UNION WARD 01,130.0,160.0,42.0,550.0,39.0,109.0,29.0
2849,42073000555,NEW CASTLE WARD 05 DISTRICT 01,NEW CASTLE WARD 05 DISTRICT 01,283.0,176.0,42.0,1135.0,43.0,199.0,58.0
2850,42091002560,POTTSTOWN DISTRICT 01 DIVISION 01,POTTSTOWN DISTRICT 01 DIVISION 01,467.0,158.0,42.0,1538.0,72.0,434.0,289.0
2851,42125000765,DONORA DISTRICT 07,DONORA DISTRICT 07,150.0,165.0,42.0,555.0,32.0,61.0,19.0
2852,42005000470,MANORVILLE,MANORVILLE,52.0,171.0,42.0,306.0,8.0,1.0,5.0
2853,42045000770,COLLINGDALE PRECINCT 04,COLLINGDALE PRECINCT 04,334.0,155.0,42.0,810.0,19.0,407.0,54.0
2854,42045003380,UPPER DARBY DISTRICT 04 PRECINCT 02,UPPER DARBY DISTRICT 04 PRECINCT 02,623.0,148.0,42.0,1123.0,27.0,437.0,139.0
2855,42003005550,PENN HILLS WARD 04 DISTRICT 03,PENN HILLS WARD 04 DISTRICT 03,404.0,170.0,42.0,815.0,26.0,298.0,18.0
2856,4200300D540,PITTSBURGH WARD 29 DISTRICT 11,PITTSBURGH WARD 29 DISTRICT 11,281.0,178.0,42.0,754.0,21.0,94.0,42.0
2857,42003000920,CARNEGIE WARD 01 DISTRICT 01,CARNEGIE WARD 01 DISTRICT 01,236.0,160.0,42.0,682.0,19.0,32.0,32.0
2858,42013000920,TYRONE WARD 04,TYRONE WARD 04,46.0,158.0,42.0,466.0,11.0,8.0,13.0
2859,42107000415,GILBERTON,GILBERTON,95.0,180.0,42.0,488.0,10.0,3.0,32.0
2860,42029001275,TREDYFFRIN DISTRICT MIDDLE DIVISION 07,TREDYFFRIN DISTRICT MIDDLE DIVISION 07,280.0,132.0,42.0,611.0,10.0,16.0,20.0
2861,42101006637,PHILADELPHIA WARD 66 PRECINCT 37,PHILADELPHIA WARD 66 PRECINCT 37,276.0,170.0,42.0,957.0,24.0,179.0,161.0
2862,42101005724,PHILADELPHIA WARD 57 PRECINCT 24,PHILADELPHIA WARD 57 PRECINCT 24,177.0,175.0,42.0,794.0,27.0,131.0,76.0
2863,42101005725,PHILADELPHIA WARD 57 PRECINCT 25,PHILADELPHIA WARD 57 PRECINCT 25,260.0,177.0,42.0,638.0,9.0,54.0,72.0
2864,42069000925,Jessup Ward 03 District 02,Jessup Ward 03 District 02,282.0,195.0,42.0,725.0,16.0,3.0,27.0
2865,42111000600,STOYSTOWN,STOYSTOWN,48.0,151.0,42.0,253.0,4.0,0.0,5.0
2866,42115000340,OAKLAND,OAKLAND,83.0,147.0,42.0,397.0,20.0,0.0,25.0
2867,4200300F351,SHARPSBURG DISTRICT 02,SHARPSBURG DISTRICT 02,371.0,200.0,42.0,968.0,38.0,133.0,42.0
2868,42003006860,PITTSBURGH WARD 06 DISTRICT 01,PITTSBURGH WARD 06 DISTRICT 01,669.0,144.0,42.0,1659.0,53.0,88.0,65.0
